dayStart	monthStart	yearStart	dayEnd	monthEnd	yearEnd	date	type	category	titleDE	titleEN	descriptionDE	descriptionEN	linkDE	linkEN
		2010				30.11.09	education	general	Angefangen, JavaScript zu lieben	Fell in love with JavaScript				
		2005				30.11.04	education	general	"Erstes Programm geschrieben in ""MatLab"""	"First program written in ""MatLab"""				
	4	2004		9	2007	31.03.04	education	general	Universität Koblenz	University of Koblenz				
		2004				30.11.03	education	general	"Erste Website entwickelt in ""PHP"""	"First website designed in ""PHP"""				
		2001				30.11.00	education	general	"Erstes Programm geschrieben in ""Java"""	"First program written in ""Java"""				
		2000				30.11.99	education	general	"Erstes Programm geschrieben in ""C++"""	"First program written in ""C + +"""				
	10	1999		4	2004	30.09.99	education	general	Universität Darmstadt	University of Darmstadt				
	10	1999			2001	30.09.99	education	general	Studienstiftung des Deutschen Volkes	The German National Academic Foundation				
		1999				30.11.98	education	general	"Erstes Programm geschrieben in ""C"""	"First program written in ""C"""				
		1999				30.11.98	education	general	"Erstes Programm geschrieben in ""Delphi"""	"First program written in ""Delphi"""				
	6	1998		9	1998	31.05.98	education	general	Auslandsaufenthalt in Providence (Rhode Island)	Abroad in Providence (Rhode Island)				
		1996				30.11.95	education	general	"Erstes Programm geschrieben in ""JavaScript"""	"First program written in ""JavaScript"""				
		1995				30.11.94	education	general	"Erste Webseite gebaut in ""HTML"""	"First website built in ""HTML"""				
		1995				30.11.94	education	general	"Erstes Programm geschrieben in ""Visual Basic"""	"First program written in ""Visual Basic"""				
		1993				30.11.92	education	general	"Erstes Programm geschrieben in ""Turbo Pascal"""	"First program written in ""Turbo Pascal"""				
9	8	1992	14	7	1999	09.08.92	education	general	Heinrich-Hertz-Gymnasiun	Heinrich Hertz Gymnasiun	<cite>Das Heinrich-Hertz-Gymnasium ist eine Schule besonderer pädagogischer Prägung mit mathematisch-naturwissenschaftlichem Profil, das über eine jahrzehntelange Tradition in der Förderung von mathematisch und naturwissenschaftlich interessierten und begabten Schülerinnen und Schüler verfügt.</cite>	<cite>The Heinrich Hertz Gymnasium is a school with special educational imprinting mathematical and scientific profile, which has a decades-long tradition in the promotion of mathematics and natural sciences to interested and talented students.</cite>		
26	8	1990	25	6	1992	26.08.90	education	general	"Schüler der ""Matheklasse"""	"Student of ""math class"""	"Die ""Matheklasse"" war ein Berliner Pilotprojekt zur Förderung von besonders mathematisch begabten Schülern."	"The ""math class"" was a pilot project in Berlin to encourage mathematically talented students."		
17	8	1986	11	7	1990	17.08.86	education	general	Grundschule	Elementary school				
		1986				30.11.85	education	general	"Erstes Computerprogramm in ""BASIC"" auf einem KC 85/3"	"First computer program in ""BASIC"" on a KC 85/3"				
13	3	1980				13.03.80	education	general	Geboren in Berlin	Born in Berlin				
19	4	2012				19.04.12	exhibition	facebook	Ars Electronica Center - Europe vs. Facebook	Ars Electronica Center - Europe vs. Facebook	"Im Ars Electronica Center in Linz gibt es eine Ausstellung zum Thema Datenschutz. Überraschender Weise habe ich dort unsere Grafiken aus dem taz-Projekt ""Europe vs. Facebook"" gefunden."	"The Ars Electronica Center in Linz did an exhibition about data privacy. Surprisingly, I've found our graphics from the taz project ""Europe vs. Facebook"" there."	http://www.aec.at/center/2012/04/18/europe-vs-facebook/	
19	4	2012				19.04.12	exhibition	maltespitz	Ars Electronica Center - Handytracking	Ars Electronica Center - Handytracking	"Im Ars Electronica Center in Linz gibt es eine Ausstellung zum Thema Datenschutz. Überraschender Weise habe ich dort auch unsere Web-App ""Veräterisches Handy"" gefunden."	The Ars Electronica Center in Linz did an exhibition about data privacy. Surprisingly, I've found our App there.	http://www.aec.at/center/2012/04/18/handytracking/	
19	12	2012				19.12.12	image	openplanb	Offene Fahrpläne in Europa	Open Transport Data in Europe	Diese Karte zeigt, in welchen Länder offene Nah- und Fernverkehrsdaten angeboten werden. Dargestellt sind GTFS-Daten (von gtfs-data-exchange.com oder anderen Quellen) und dieses furchtbare NaPTAN-Zeug.	This map shows the openess of transport data based on GTFS data (found on gtfs-data-exchange.com and other sources) and bloody british NaPTAN crap.		http://www.flickr.com/photos/49333515@N03/8286821835/in/photostream
19	12	2012				19.12.12	image	openplanb	Offene Fahrpläne weltweit	Open Transport Data worldwide	Diese Karte zeigt, in welchen Länder offene Nah- und Fernverkehrsdaten angeboten werden. Dargestellt sind GTFS-Daten (von gtfs-data-exchange.com oder anderen Quellen) und dieses furchtbare NaPTAN-Zeug.	This map shows the openess of transport data based on GTFS data (found on gtfs-data-exchange.com and other sources) and bloody british NaPTAN crap.		http://www.flickr.com/photos/49333515@N03/8286820989/in/photostream
17	11	2012				17.11.12	image	openplanb	Pendelverkehr	Delay in urban rail traffic	"Das Diagramm vergleicht die tatsächliche Position mit der ""Müsste-aber-laut-Fahrplan""-Postion der Berliner S-Bahn - während des Pendelverkehrs"	This chart shows a comparison of the actual position and the position according to the timetable of a interurban train.	http://www.flickr.com/photos/49333515@N03/8193802972/in/photostream	
22	6	2012				22.06.12	image	other	Burger King retuschiert Salat-Fotos	Burger King retouchs salade photos			http://twitpic.com/9z7bz5	
22	6	2012				22.06.12	image	other	McDonalds retuschiert auch Fotos	McDonalds also retouchs photos			http://twitpic.com/9z7j7v	
23	1	2012				23.01.12	image	other	graph of 22.000 mails	graph of 22.000 mails	Die Grafik zeigt 22.000 E-Mails (blau) von 4.000 E-Mail-Adressen (rot). Die Daten habe ich aus meinem Mail-Archiv extrahiert und decken etwa 6 Jahre ab.	The chart shows 22.000 mails (blue) of 4.000 mail users (red). I extracted the data from my mail archive.	http://www.flickr.com/photos/49333515@N03/6751068515/in/photostream	
10	9	2011				10.09.11	image	other	"Auf der ""Freiheit statt Angst"" 2011"	"At the ""Freedom not Fear"" 2011"	"Schnappschuss auf der ""Freiheit statt Angst"" und Vorlage zu meinem Twitter-Avatar."		http://www.flickr.com/photos/49333515@N03/6258429745/in/photostream	
22	4	2011				22.04.11	image	crowdflow		comparing iPhone positions	Das Diagramm zeigt den Abstand zwischen zwei iPhones (meins und das von @gedankenstuecke) über einen Zeitraum von knapp einem Jahr. Daraus ist dann die Idee von crowdflow.net entstanden.	The chart shows the distance between two iPhones (mine and that of @gedankenstuecke) over a period of almost a year. This chart started the idea of crowdflow.net.	http://www.flickr.com/photos/49333515@N03/5643388574/in/photostream	
11	1	2011				11.01.11	image	other		Social graph of a recent party	Das soziale Netzwerk einer Silvesterparty. Interessanter Weise kann man genau sehen, wer auf der Party der Gastgeber und seine Freundin ist, obwohl die Beziehung bei Facebook explizit nicht angegeben ist.	The social network of a new year's party. Interestingly, you can see exactly who is the host and his girlfriend, although their relationship is not explicitly specified on Facebook.	http://www.flickr.com/photos/49333515@N03/5346466909/in/photostream	
8	12	2010				08.12.10	image	other		Data, Information, Knowledge, Wisdom		"A different approach to the visualization of ""Data, Information, Knowledge, Wisdom""."	http://www.flickr.com/photos/49333515@N03/5244045076/in/photostream	
12	6	2010				12.06.10	image	other	Schnellboot aus einer elektrischen Zahnbürste 1		Schnellboot aus einer elektrischen Zahnbürste. War eine spontane Idee ...	Speedboat made from an electric toothbrush 1	http://twitpic.com/1w3359	
12	6	2010				12.06.10	image	other	Schnellboot aus einer elektrischen Zahnbürste 2		Das Zahnbürsten-Schnellboot wird gesteuert von einem Indianer.	Speedboat made from an electric toothbrush 2	http://twitpic.com/1w330p	
	9	2011				31.08.11	job	general	Seit August 2011 bin ich technischer Leiter bei OpenDataCity.	Since August 2011 I'm technical manager at OpenDataCity.			http://www.opendatacity.de	
	8	2006		10	2011	31.07.06	job	general	Geschäftsführer creamBOTS GmbH	Founder and manager of creamBOTS				
	5	2004		8	2006	30.04.04	job	general	Freiberufler	Freelancers				
	12	2001		4	2004	30.11.01	job	general	Softwareentwickler bei European Space Operation Centre (AniteSystems)	Software developer at European Space Operation Centre (Europe's NASA)			http://www.esa.int/SPECIALS/ESOC/index.html	
	1	2001		7	2001	31.12.00	job	general	Datenbankentwickler bei der Dresdner Bank Asset Management	Database developer at Dresdner Bank Asset Management			http://www.dit.de	
15	11	2012				15.11.12	presentation	openplanb	openPlanB - innovation without permission	openPlanB - innovation without permission	"Vortrag im Rahmen des ""Summit of New Thinking"""	"Presentation at the ""Summit of New Thinking"""	http://open-strategies.de/sessions/openplanb-innovation-without-permission	
4	9	2012				04.09.12	presentation	openplanb	OpenData im ÖPV	Open Data in Public Transport	"Präsentation während des netzpolitischen Abends der ""Digitalen Gesellschaft"" in der c-base."	"<cite>Presentation at the ""Digitalen Gesellschaft"" evening in the c-base.</cite>"	https://vimeo.com/48837184	
14	2	2012				14.02.12	presentation	maltespitz	Big Brother Is Watching You: Was die Visualisierung von Vorratsdaten verrät	Big Brother is watching you: What the visualization of telephone data reveals	Vortrag auf der domainpulse	"Presentation during ""domainpulse"" - the biggest conference for domain sellers"	http://www.domainpulse.ch/download/movies/ea/rz3kdrewrktw1tsa8zpqity5cs5u91/10bigbrotheriswatching.flv	
31	12	2011				31.12.11	presentation	crowdflow	28c3 - Lightning Talk	28c3 - Lightning Talk	Kurzvortrag über den aktuellen Stand von crowdflow.net	Short presentation on the current status of crowdflow.net	http://www.youtube.com/watch?v=LwFqsEh9Qug	
21	2	2013				21.02.13	press	gema-youtube		SmartPlanet - In Germany, a 61-percent YouTube ‘blackout’		<cite>Web developer Michael Kreil had seen the same YouTube message one too many times.</cite>		http://www.smartplanet.com/blog/global-observer/in-germany-a-61-percent-youtube-8216blackout/9734
30	1	2013				30.01.13	press	gema-youtube		The Local - YouTube puts Germany into digital dark ages		<cite>YouTube’s dispute with Germany’s music rights authority GEMA has resulted in the country being cut off from more than 60 percent of the website’s most popular videos, according to a new analysis.</cite>		http://www.thelocal.de/sci-tech/20130130-47633.html
29	1	2013				29.01.13	press	gema-youtube	engadget - Youtube vs. Gema im Datavis: 61,5 % der beliebtesten Videos sind in Deutschland gesperrt	Youtube vs. Gema in Datavis: 61.5% of the most popular videos are blocked in Germany	<cite>OpenDataCity haben ein sehr anschauliches Datavis zur Gema/Youtube-Problematik gebastelt, das zeigt, dass in Deutschland 61,5 Prozent der 1000 beliebtesten Videos von Youtube mit dem Gema-Sperrvermerk ausgestattet wurden und demnach ohne den Umweg über Proxies nicht zu sehen sind.</cite>		http://de.engadget.com/2013/01/29/youtube-vs-gema-im-datavis-61-5-der-beliebtesten-videos-sind/	
29	1	2013				29.01.13	press	gema-youtube	heise - Youtube: 60 Prozent der beliebtesten Videos in Deutschland gesperrt	Youtube: 60 percent of the most popular videos blocked in Germany	"<cite>Fast zwei Drittel der 1000 weltweit beliebtesten Videos auf Youtube sind in Deutschland gesperrt und können wegen des anhaltenden Konflikts zwischen GEMA und Youtube hierzulande nicht abgerufen werden. Zu diesem Ergebnis kommt das Unternehmen OpenDataCity und verdeutlicht die Problematik in der Datenanwendung ""GEMA versus YouTubes Top 1000"".</cite>"		http://www.heise.de/newsticker/meldung/Youtube-60-Prozent-der-beliebtesten-Videos-in-Deutschland-gesperrt-1793048.html	
29	1	2013				29.01.13	press	gema-youtube	Deutschlandradio - Youtubes harter Kampf	Deutschlandradio - Youtube's battle	<cite>Vor dem Landgericht München hat die Gema eine Unterlassungsklage gegen Youtube eingereicht. Sie will damit verhindern, dass Youtube Sperrtafeln einblendet, in denen der Gema die Schuld für die Sperrung von Youtube-Videos zugeschoben wird. Eine App von OpenDataCity zeigt zudem, wie viele der angesagtesten Youtube-Videos in Deutschland gesperrt sind.</cite>		http://wissen.dradio.de/gema-youtubes-harter-kampf.33.de.html?dram:article_id=235726	
28	1	2013				28.01.13	press	gema-youtube	Spiegel - Gema-Streit: YouTube sperrt jedes zweite angesagte Video	Spiegel - GEMA dispute: YouTube blocks every second popular video	<cite>Mehr als die Hälfte der Clips ist gesperrt, meist mit Verweis auf die Gema: Welche der 1000 weltweit beliebtesten Videos auf YouTube auch von deutschen Nutzern angesehen werden können, zeigt eine interaktive App von OpenDataCity.</cite>		http://www.spiegel.de/netzwelt/netzpolitik/gema-streit-youtube-sperrt-61-5-prozent-der-angesagtesten-videos-a-880005.html	
28	1	2013				28.01.13	press	gema-youtube	Süddeutsche - Diese Kultur ist in Deutschland leider nicht verfügbar	Süddeutsche - This culture is not available in Germany	<cite>Youtube, ist das nicht diese Plattform für Quatsch und Klamauk? In Deutschland leider schon, anderswo hingegen ist die Seite ein quicklebendiges pop- und netzkulturelles Echtzeitmuseum. Das zeigt ein Blick auf die in Deutschland gesperrten Videos.</cite>		http://www.sueddeutsche.de/digital/streit-zwischen-youtube-und-gema-diese-kultur-ist-in-deutschland-leider-nicht-verfuegbar-1.1584813	
29	11	2012				29.11.12	press	afghanistan	DRadio Wissen - Die Afghanistan-Papiere	DRadio Wissen - The Afghanistan Papers	<cite>Der WAZ wurden Einsatzberichte der Bundeswehr zugespielt.</cite>		http://wissen.dradio.de/bundeswehr-die-afghanistan-papiere.33.de.html?dram:article_id=229268	
28	11	2012				28.11.12	press	afghanistan	tagesschau.de - Bundeswehrdokumente veröffentlicht	tagesschau.de - Military documents published	<cite>Wie gut oder schlecht ist die Sicherheitslage in Afghanistan wirklich? ... Die Mediengruppe wertete Tausende Seiten bislang geheimer Bundeswehrberichte aus.</cite>		http://www.tagesschau.de/ausland/afghanistanpapiere104.html	
28	11	2012				28.11.12	press	afghanistan	Süddeutsche - Folgen eines verharmlosten Krieges	Süddeutsche - consequences of a trivialized war	<cite>Das Bundeskabinett beschließt die Verkleinerung der Afghanistan-Truppe, ein Fortschrittsbericht sieht durchaus positive Entwicklungen. Also alles in Ordnung am Hindukusch? Im Netz kann nun jeder selber nachsehen: Die WAZ-Rechercheredaktion hat vertrauliche Lageberichte des Verteidigungsministeriums online gestellt.</cite>		http://www.sueddeutsche.de/politik/dokumente-ueber-den-afghanistan-einsatz-veroeffentlicht-folgen-eines-verharmlosten-krieges-1.1535437	
28	11	2012				28.11.12	press	afghanistan	netzpolitik.org - Afghanistan Papiere: Über 5.000 Seiten geleakte Berichte der Bundeswehr veröffentlicht	netzpolitik.org - Afghanistan documents:  over 5,000 pages of leaked reports of the Bundeswehr are published	<cite>Über 5000 Seiten Berichte an den Verteidigungsauschuss des Bundestages hat die WAZ Rechercheredaktion zugespielt bekommen. Diese Unterrichtungen des Parlamentes – UdP – sind als Verschlusssache nicht für die Öffentlichkeit bestimmt. Die WAZ hat sich aber dennoch zur Veröffentlichung entschlossen ...</cite>		https://netzpolitik.org/2012/afghanistan-papiere-uber-5-000-seiten-geleakte-berichte-der-bundeswehr-veroffentlicht/	
28	11	2012				28.11.12	press	afghanistan	focus - 5000 Geheimdokumente zeigen die Wahrheit über Afghanistan	focus - 5000 secret documents reveal the truth about Afghanistan	<cite>Die Regierung will den Afghanistan-Einsatz verlängern. Der „Rechercheblog“ der WAZ hat kurz vor der Entscheidung rund 5000 geheime Dokumente veröffentlicht. Die Erkenntnis: Die Sicherheitslage in Afghanistan hat sich stetig verschlechtert.</cite>		http://www.focus.de/politik/deutschland/bundeswehreinsatz-am-hindukusch-5000-geheimdokumente-zeigen-die-wahrheit-ueber-afghanistan_aid_870282.html	
27	11	2012				27.11.12	press	afghanistan	WAZ - Wie gefährlich der Bundeswehreinsatz in Afghanistan wirklich ist	WAZ - How dangerous is the Bundeswehr mission in Afghanistan	<cite>Die WAZ-Mediengruppe veröffentlicht hunderte bislang geheim gehaltene Dokumente zum Einsatz der Bundeswehr im Afghanistan-Krieg. Daraus wird sichtbar, dass die Lage am Hindukusch seit Jahren schlechter ist, als öffentlich dargestellt.</cite>		http://www.derwesten.de/politik/wie-gefaehrlich-der-bundeswehreinsatz-in-afghanistan-wirklich-ist-id7334287.html	
29	9	2012				29.09.12	press	openplanb	ZDF - Fahrpläne für jeden: Open Data vs. Deutsche Bahn	ZDF - Time tables for everybody Open Data vs. Deutsche Bahn	<cite>“Wir kämpfen für die Offenlegung der Fahrpläne, und die Bahn arbeitet heimlich seit zwei Jahren daran, die Daten exklusiv an den Monopolisten Google weiterzugeben”, empört sich Michael Kreil, Entwicker bei Open Data City.</cite>		http://blog.zdf.de/hyperland/2012/09/fahrplaene-fuer-jeden-open-data-vs-deutsche-bahn/	
28	9	2012				28.09.12	press	openplanb	netzpolitik - Deutsche Bahn beschwert sich über Open Data-Initiative: Interview mit einem Macher von OpenPlanB	netzpolitik - Deutsche Bahn complains about Open Data Initiative: Interview with the creators of OpenPlanB	<cite>Mit einem Offenen Brief wand sich heute am Freitag Birgit Bohle, Vorsitzende der Geschäftsführung der DB Vertrieb GmbH, an Michael Kreil, Initiator von „openPlanB“. Die Initiative hat in den letzten Monaten die Fahrplandaten der DB decodiert und in einem offenem Format zum Download bereitgestellt. Bohle wirft Michael nur vor, damit dem Anliegen von Open Data zu schaden. Wir haben Michael Kreil interviewt.</cite>		https://netzpolitik.org/2012/deutsche-bahn-beschwert-sich-uber-open-data-initiative-interview-mit-einem-macher-von-openplanb/	
28	9	2012				28.09.12	press	openplanb	golem - Deutsche Bahn sieht klaren Rechtsbruch - aber auch Chancen	golem - Deutsche Bahn sees clear violation of the law - but also opportunities	<cite>In einem offenen Brief wirft die Deutsche Bahn OpenplanB einen absichtlichen Rechtsbruch vor. Da die Open-Data-Aktivisten ohne Erlaubnis DB-Fahrplandaten zur weiteren Verbreitung ausgelesen haben, soll nun mit Open-Data-Förderern zusammengearbeitet werden.</cite>		http://www.golem.de/news/openplanb-deutsche-bahn-sieht-klaren-rechtsbruch-aber-auch-chancen-1209-94819.html	
28	9	2012				28.09.12	press	openplanb	heise - Deutsche Bahn wirft Open-Data-Projekt Rechtsbruch vor	heise - Deutsche Bahn claims that open data project breaks the law	"<cite>Die Deutsche Bahn zeigt sich erbost über die Veröffentlichung ihrer Fahrplandaten durch das Projekt openPlanB. In einem offenen Brief wirft Birgit Bohle, Vorsitzende der Geschäftsführung der DB Vertriebs GmbH, dem Projekt-Initator Michael Kreil ""eindeutigen Rechtsbruch"" vor.</cite>"		http://www.heise.de/open/meldung/Deutsche-Bahn-wirft-Open-Data-Projekt-Rechtsbruch-vor-1719902.html	
28	9	2012				28.09.12	press	openplanb	Spiegel - Guerilla-Aktion: Deutsche Bahn wehrt sich gegen Fahrplan-Veröffentlichung	Spiegel - Guerilla mission: Deutsche Bahn defends against time table publication	"<cite>Fahrplandaten für Google, aber nicht für jedermann: Das wollte ein Entwickler nicht hinnehmen und veröffentlichte die Fahrplandaten der Deutschen Bahn im Internet. Der Konzern reagiert mit einem offenen Brief auf die ""illegale Aktion"".</cite>"		http://www.spiegel.de/netzwelt/netzpolitik/openplanb-deutsche-bahn-wehrt-sich-gegen-fahrplan-veroeffentlichung-a-858544.html	
28	9	2012				28.09.12	press	openplanb	Deutsche Bahn - Offener Brief an das Projekt „openPlanB“	"Deutsche Bahn - Open letter to the project ""openPlanB"""	"<cite>In den vergangenen Wochen gab es in den entsprechenden Foren im Internet und in den Sozialen Medien eine Diskussion um das Projekt „openPlanB"". Angestoßen wurde die Diskussion durch Michael Kreil, den Initiator des Projekts. Herr Kreil hat Fahrplandaten von einer von uns herausgegebenen CD-ROM extrahiert, umgewandelt und Dritten zum Download öffentlich zugänglich gemacht - und damit einen eindeutigen Rechtsbruch begangen.</cite>"		http://www.db-vertrieb.com/db_vertrieb/view/service/open_plan_b.shtml	
17	9	2012				17.09.12	press	openplanb	Spiegel - Online-Karten: Googles lückenhafter Bahn-Fahrplan	Spiegel - Online Maps: Google's incomplete railway time tables	"<cite>Weil die Deutsche Bahn keine Schnittstelle für alle anbietet, hat Kreil die Fernverkehrsverbindungen mit einem Programm abgerufen und in eine Datenbank gepackt, in einem offenen Format zum Download. ""openPlanB"" nennt er sein Projekt.</cite>"		http://www.spiegel.de/netzwelt/web/google-kooperation-mit-deutscher-bahn-wirft-fragen-auf-a-856215.html	
7	9	2012				07.09.12	press	openplanb	Golem - openPlanB veröffentlicht bundesweite Fahrplandaten	Golem - openPlanB published nationwide time table data	<cite>Die Aktivistengruppe OpenplanB hat den vollständigen Fahrplan des deutschen Fernverkehrs veröffentlicht. Ziel sei es, Entwicklern die Daten für ihre Apps zur Verfügung zu stellen. Die Bereitstellung der Daten geschah ohne Genehmigung.</cite>		http://www.golem.de/news/open-data-openplanb-veroeffentlicht-bundesweite-fahrplandaten-1209-94416.html	
6	9	2012				06.09.12	press	openplanb	heise - openPlanB: Offene Fahrplandaten	heise - openPlanB: Open time table data	<cite>Das Projekt openPlanB hat umfangreiche Fahrplandaten unter der Open Database License (ODbL) veröffentlicht. </cite>		http://www.heise.de/open/meldung/openPlanB-Offene-Fahrplandaten-1702094.html	
5	9	2012				05.09.12	press	openplanb	netzpolitik - openPlanB: Open-Data-Aktivisten veröffentlichen Fahrplandaten des deutschen Fernverkehrs	netzpolitik - openPlanB: open data activists published time table data of the german long-distance traffic	<cite>Seit gestern sind die Fahrplandaten des kompletten deutschen Fernverkehrs als Download verfügbar. Leider nicht von offizieller Stelle, viele Verkehrsunternehmen haben noch Vorbehalte gegenüber komplett offenen Daten. Also haben Aktivisten die Daten einfach extrahiert – aus den offizellen Anwendungen der Unternehmen.</cite>		https://netzpolitik.org/2012/openplanb-open-data-aktivisten-veroffentlichen-fahrplandaten-des-deutschen-fernverkehrs/	
5	4	2012				05.04.12	press	maltespitz	netzpolitik - Vorratsdatenspeicherung visualisiert: Was Verbindungsdaten alles verraten	Data retention visualized: What connection data reveals	<cite>Neue Visualisierungen zeigen erneut, wie sensibel die persönlichen Daten der Vorratsdatenspeicherung sind. Aus echten Verkehrsdaten wurden aussagekräftige Diagramme von sozialen Netzwerken erstellt.</cite>		https://netzpolitik.org/2012/vorratsdatenspeicherung-visualisiert-was-verbindungsdaten-alles-verraten/	
16	7	2011				16.07.11	press	crowdflow		engadget - Crowdflow tracks 880 iPhones across Europe, wants to put you on the map		<cite>Using location data collected from 880 iPhones, the team has created a video showing iPhone movement through Europe for the month of April, 2011.</cite>		http://www.engadget.com/2011/07/16/crowdflow-tracks-880-iphones-across-europe-wants-to-put-you-on/
15	7	2011				15.07.11	press	crowdflow	gigaom - How iPhones move across Europe	gigaom - How iPhones move across Europe		"<cite>Michael Kreil of Crowdflow takes the location data from 880 iPhones for the month of April 2011 and creates a time-lapse video that shows how iPhone users flow across Europe. It is pretty hypnotic. There are three videos; be sure to watch them in full-screen mode to enjoy the full impact.</cite>"		http://gigaom.com/2011/07/15/how-iphones-move-across-europe/
14	7	2011				14.07.11	press	crowdflow	netzpolitik.org - consolidated.db-Visualisierungen	netzpolitik.org - consolidated.db visualizations	<cite>Erinnert ihr euch noch an “Locationgate”, dein persönliches Bewegungsprofil für die Hosentasche? ... Michael Kreil hat jetzt richtig schöne Heatmap-Videoanimationen mit den Bewegungen der iPhones gemacht – sogar in verschiedenen Farbkombinationen. ... Richtig beeindruckende Arbeit. Erst recht in HD.</cite>		https://netzpolitik.org/2011/consolidated-db-visualisierungen/	
5	5	2011				05.05.11	press	crowdflow	Der Freitag - Wenn die Daten schon herumliegen	Der Freitag - If the data is already lying around	<cite>Wenn iPhones speichern, wo sich ihre Benutzer aufhalten, kann man daraus etwas Sinnvolles machen? Das fragten sich einige Datenjournalisten – und schufen crowdflow.net</cite>		http://www.freitag.de/autoren/klaus-raab/wenn-die-daten-schon-herumliegen	
3	6	1998				03.06.98	press	general	"Die Berliner Zeitung - ""Die Milka-Kuh im Wüstensand"""	"Berliner Zeitung - ""The Milka cow in the desert sand"""			http://www.berliner-zeitung.de/archiv/jungforscher-entwickelten-verfahren-zur-digitalen-bildentwicklung-die-milka-kuh-im-wuestensand,10810590,9437702.html	
